species	taxid	category	raw_refs	source_type	doi_list	pmid_list	resolution_status	notes
Xepiculopsis graminea/Myrothecium gramineum	226117	fungi	NYVALL R F. Field Crop Diseases. 3rd ed. Ames: Iowa State University Press, 1999.	book_or_compendium			UNRESOLVED	no explicit DOI/PMID in raw citation block
Globisporangium irregulare (Pythium irregulare)	36331	oomycetes	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2022.	book_or_compendium; chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Globisporangium rostratum (Pythium rostratum )	2711123	oomycetes	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2023.	book_or_compendium; chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Peronosclerospora heteropogonis	467162	oomycetes	MATHUR K, TRIVEDI A, RATHORE R S. Assessment of losses caused by Peronosclerospora heteropogoni, incitant of downy mildew of Maize[J]. 2006.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Peronosclerospora maydis	886949	oomycetes	Ramsey M D, Jones D R. Peronosclerospora maydis found on maize, sweetcorn and plume sorghum in Far North Queensland[J]. Plant pathology, 1988, 37(4): 581-587.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Peronosclerospora miscanthi	1081076	oomycetes	Crouch J A, Davis W J, Shishkoff N, et al. Peronosporaceae species causing downy mildew diseases of Poaceae, including nomenclature revisions and diagnostic resources[J]. Fungal Systematics and Evolution, 2022, 9(1): 43-86.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Peronosclerospora philippinensis	886948	oomycetes	Telle S, Shivas R G, Ryley M J, et al. Molecular phylogenetic analysis of Peronosclerospora (Oomycetes) reveals cryptic species and genetically distinct species parasitic to maize[J]. European Journal of Plant Pathology, 2011, 130(4): 521-528.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Peronosclerospora sacchari	467161	oomycetes	Yao C, Magill C W, Frederiksen R A, et al. Detection and identification of Peronosclerospora sacchari in maize by DNA hybridization[J]. Phytopathology, 1991, 81(8): 901-905.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Peronosclerospora sorghi	230839	oomycetes	Adenle V O, Cardwell K F. Seed transmission of maize downy mildew (Peronosclerospora sorghi) in Nigeria[J]. Plant pathology, 2000, 49(5): 628-634.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Peronosclerospora spontanea	NOT_VERIFIED	oomycetes	Crouch J A, Davis W J, Shishkoff N, et al. Peronosporaceae species causing downy mildew diseases of Poaceae, including nomenclature revisions and diagnostic resources[J]. Fungal Systematics and Evolution, 2022, 9(1): 43-86. | NCBI Taxonomy 未收录 Peronosclerospora spontanea	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium acanthicum	65069	oomycetes	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020.	book_or_compendium; chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium adhaerens	289596	oomycetes	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2021.	book_or_compendium; chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium angustatum	289598	oomycetes	Irwin J, Singh S, Kochman J, et al. Pathogen risks associated with bulk maize imports to australia from the United States of America[J]. A report by technical working group, 1999, 1.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium aphanidermatum	65070	oomycetes	Bickel J T, Koehler A M. Review of Pythium species causing damping-off in corn[J]. Plant Health Progress, 2021, 22(3): 219-225.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium aristosporum	140044	oomycetes	Hou M, Cao Y, Zhang X, et al. Genome-wide association study of maize resistance to Pythium aristosporum stalk rot[J]. Frontiers in Plant Science, 2023, 14: 1239635.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium arrhenomanes	82932	oomycetes	Deep I W, Lipps P E. Recovery of Pythium arrhenomanes and its virulence to corn[J]. Crop Protection, 1996, 15(1): 85-90.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium debaryanum /Globisporangium debaryanum	231958	oomycetes	Foley D C. Resistance to Pythium debaryanum in Zea mays seedlings[C]//Proceedings of the Iowa Academy of Science. 1980, 87(4): 134-138. Bickel J T, Koehler A M. Review of Pythium species causing damping-off in corn[J]. Plant Health Progress, 2021, 22(3): 219-225.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium graminicola	82937	oomycetes	Erwin D C, Cameron J W. Susceptibility of five Sweet Com varieties to Pythium graminicola[J]. 1957.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium helicoides / Phytopythium helicoides	126844	oomycetes	Xie X Y, Zhou H Z, Fan S S, et al. First report of Phytopythium helicoides causing stalk rot on corn in China[J]. Plant disease, 2021, 105(11): 3766.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium inflatum	82938	oomycetes	Yang D E, Jin D M, Wang B, et al. Characterization and mapping of Rpi1, a gene that confers dominant resistance to stalk rot in maize[J]. Molecular genetics and genomics, 2005, 274(3): 229-234.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium lutarium	289618	oomycetes	Acharya, Jyotsna, and Alison E. Robertson. "Effect of allelochemicals from cereal rye cultivar and Pythium lutarium on corn growth and disease." PhytoFrontiers™ 3.4 (2023): 847-854.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium paroecandrum/ Globisporangium paroecandrum	2125995	oomycetes	KONDO N, KODAMA F, AKAI J. Pathogenicity of Pythium species isolated from ungerminated corn seeds planted at a low temperature[J]. Japanese Journal of Phytopathology, 1986, 52(4): 585-589.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium pulchrum / Globisporangium pulchrum	115420	oomycetes	Bickel J T, Koehler A M. Review of Pythium species causing damping-off in corn[J]. Plant Health Progress, 2021, 22(3): 219-225.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium schmitthenneri / Globisporangium schmitthenneri	1277646	oomycetes	Ellis M L, Paul P A, Dorrance A E, et al. Two new species of Pythium, P. schmitthenneri and P. selbyi pathogens of corn and soybean in Ohio[J]. Mycologia, 2012, 104(2): 477-487.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium spinosum /Globisporangium spinosum	2125998	oomycetes	KONDO N, KODAMA F, AKAI J. Pathogenicity of Pythium species isolated from ungerminated corn seeds planted at a low temperature[J]. Japanese Journal of Phytopathology, 1986, 52(4): 585-589.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium splendens/Globisporangium splendens	82926	oomycetes	Dorrance A E, Berry S A, Lipps P E. Characterization of Pythium spp. from three Ohio fields for pathogenicity on corn and soybean and metalaxyl sensitivity[J]. Plant Health Progress, 2004, 5(1): 10.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium sylvaticum / Globisporangium sylvaticum	82950	oomycetes	Tang X, Chen S, Yan X, et al. First Report of Pythium torulosum Causing Corn Root Rot in Northeastern China[J]. Plant disease, 2021, 105(3): 712-712.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium torulosum	4799	oomycetes	Tang X, Chen S, Yan X, et al. First Report of Pythium torulosum Causing Corn Root Rot in Northeastern China[J]. Plant disease, 2021, 105(3): 712-712.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium ultimum	2052682	oomycetes	Broders K D, Lipps P E, Paul P A, et al. Characterization of Pythium spp. associated with corn and soybean seed and seedling disease in Ohio[J]. Plant disease, 2007, 91(6): 727-735.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pythium vexans/Phytopythium vexans	907947	oomycetes	Bickel J T, Koehler A M. Review of Pythium species causing damping-off in corn[J]. Plant Health Progress, 2021, 22(3): 219-225.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Sclerophthora macrospora	467176	oomycetes	Trdan S, Celar F. The first and mass occurrence of fungus Sclerophthora macrospora (Sacc.) Thirumalachar, CG Shaw & Narasimhan on maize in Slovenia[J]. 1999.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Sclerophthora rayssiae / Sclerophthora rayssiae var. zeae	NOT_VERIFIED	oomycetes	Crouch J A, Davis W J, Shishkoff N, et al. Peronosporaceae species causing downy mildew diseases of Poaceae, including nomenclature revisions and diagnostic resources[J]. Fungal Systematics and Evolution, 2022, 9(1): 43-86. | NCBI Taxonomy 未收录 Sclerophthora rayssiae	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Sclerospora graminicola	162130	oomycetes	Frederiksen R A, Renfro B L. Global status of maize downy mildew[J]. Annual Review of Phytopathology, 1977, 15(1): 249-271.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
