species	taxid	category	citation_id	raw_chunk	extracted_doi	crossref_doi	crossref_title	crossref_container	crossref_year	crossref_score	crossref_error	pubmed_pmid	pubmed_title	pubmed_year	pubmed_score	pubmed_error	resolution_status	verification_required	review_decision	reviewer	review_date	review_notes
Talaromyces radicus	228353	fungi	228353.4	Illustrated Handbook of Maize Diseases, Insect Pests and Weeds in China. Beijing: China Agriculture Press, 2018. (in Chinese)		10.17660/ejhs.2019/84.1.6	Effects of partial root drying on strawberry fruit	European Journal of Horticultural Science	2019								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-21	title_mismatch overlap=0.08; openalex_no_doi
Trichoderma afroharzianum	1567482	fungi	1567482.1	Harish J, Prasannakumar M K, Karan R, et al. Trichoderma spp. as a novel pathogen for maize post-flowering stalk rot in India[J]. Crop Protection, 2025, 195: 107255.		10.1016/j.cropro.2025.107255	Trichoderma spp. as a novel pathogen for maize post-flowering stalk rot in India	Crop Protection	2025								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Trichoderma asperellum	101201	fungi	101201.1	Wang W, Xiao S, Que F, et al. Maize Knows Friends or Foes? The Dark Side of Trichoderma asperellum as a Maize Ear Rot Pathogenic Fungus[J]. Plant Biotechnology Journal, 2026, 24(4): 2701-2703.		10.1111/pbi.70489	Maize Knows Friends or Foes? The Dark Side of Trichoderma asperellum as a Maize Ear Rot Pathogenic Fungus	Plant Biotechnology Journal	2025			41457041	Maize Knows Friends or Foes? The Dark Side of Trichoderma asperellum as a Maize Ear Rot Pathogenic Fungus.	2026			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Trichoderma hamatum	49224	fungi	49224.1	McFadden A G, Sutton J C. Relationships of populations of Trichoderma spp. in soil to disease in maize[J]. Canadian journal of plant science, 1975, 55(2): 579-586.		10.4141/cjps75-085	RELATIONSHIPS OF POPULATIONS OF TRICHODERMA SPP. IN SOIL TO DISEASE IN MAIZE	Canadian Journal of Plant Science	1975								AUTO_CANDIDATE_LOW	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Trichoderma hamatum	49224	fungi	49224.2	Sobowale A A, Odebode A C, Cardwell K F, et al. Antagonistic potential of Trichoderma longibrachiatum and T. hamatum resident on maize (Zea mays) plant against Fusarium verticillioides (Nirenberg) isolated from rotting maize stem[J]. Archives of Phytopathology and Plant protection, 2010, 43(8): 744-753.		10.1080/03235400802175904	Antagonistic potential ofTrichoderma longibrachiatumandT. hamatumresident on maize (Zea mays) plant againstFusarium verticillioides(Nirenberg) isolated from rotting maize stem	Archives Of Phytopathology And Plant Protection	2010								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Trichoderma harzianum	5544	fungi	5544.1	Harish J, Prasannakumar M K, Karan R, et al. Trichoderma spp. as a novel pathogen for maize post-flowering stalk rot in India[J]. Crop Protection, 2025, 195: 107255.		10.1016/j.cropro.2025.107255	Trichoderma spp. as a novel pathogen for maize post-flowering stalk rot in India	Crop Protection	2025								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Trichoderma koningii	97093	fungi	97093.1	SUTTON J C. Trichoderma koningii as a parasite of maize seedlings[J]. Canadian journal of plant science, 1972, 52(6): 1037-1042.		10.4141/cjps72-176	TRICHODERMA KONINGII AS A PARASITE OF MAIZE SEEDLINGS	Canadian Journal of Plant Science	1972								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Trichoderma roseum /Trichothecium roseum	47278	fungi	47278.1	Xue C S, Xu J N, Sun J Y, et al. First report of Trichothecium roseum causing maize (Zea mays) ear rot in Northern China[J]. Plant Disease, 2016, 100(11): 2324-2324.		10.1094/pdis-03-16-0358-pdn	First Report of Trichothecium roseum Causing Maize (Zea mays) Ear Rot in Northern China	Plant Disease	2016								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Trichoderma viride	5547	fungi	5547.1	Robertson, A. 2004. Corn Ear Rots. Iowa State University IPM.IC-492(21) [October 4, 2004] Available at https://lib.dr.iastate.edu/cgi/viewcontent.cgi?referer=https://www.google.com/&httpsredir=1&article=2505&context=cropnews [URL verified 3/28/2019].		10.31274/icm-180809-92	Managing rotten corn: An overview of corn ear rots	Proceedings of the Integrated Crop Management Conference	2012								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-29	title_mismatch overlap=0.13; openalex_no_doi
Ustilaginoidea virens	1159556	fungi	1159556.1	Gohel N M, Patil R K, Pandey R N, et al. A NEW REPORT ON OCCURRENCE OF FALSE HEAD SMUT [USTILAGINOIDEA VIRENS (COOKE) TAKAHASHI] OF MAIZE (ZEA MAYS L.) FROM GUJARAT, INDIA[J]. Bioscan (Suppl Plant Pathol), 2014, 9(3): 1147-1149.		10.1079/cabicompendium.55958	Ustilaginoidea virens (false smut)	CABI Compendium	2021								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-29	title_mismatch overlap=0.19; openalex_no_doi
Waitea zeae (Rhizoctonia zeae)	49569	fungi	49569.1	Gambhir N, Kodati S, Adesemoye A O, et al. Fungicide Sensitivity and Nontarget Site Resistance in Rhizoctonia zeae Isolates Collected from Corn and Soybean Fields in Nebraska[J]. Plant Disease, 2025, 109(1): 217-227.		10.1094/pdis-02-24-0352-re	Fungicide Sensitivity and Nontarget Site Resistance in Rhizoctonia zeae Isolates Collected from Corn and Soybean Fields in Nebraska	Plant Disease	2025			39254848	Fungicide Sensitivity and Nontarget Site Resistance in Rhizoctonia zeae Isolates Collected from Corn and Soybean Fields in Nebraska.	2025			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Xepiculopsis graminea/Myrothecium gramineum	226117	fungi	226117.1	NYVALL R F. Field Crop Diseases. 3rd ed. Ames: Iowa State University Press, 1999.		10.1007/978-1-4757-5221-2_7	Diseases of Field Beans	Field Crop Diseases Handbook	1989				The potential of optical canopy measurement for targeted control of field crop diseases.	2003	0.25		AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-25	title_mismatch overlap=0.22; openalex_no_doi
Globisporangium irregulare (Pythium irregulare)	36331	oomycetes	36331.1	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016.		10.1094/9780890544945	Compendium of Corn Diseases, Fourth Edition	APS Press	2016								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	title_mismatch overlap=0.47; openalex_no_doi; book_title_verified
Globisporangium irregulare (Pythium irregulare)	36331	oomycetes	36331.2	王晓鸣等.		10.37155/2705-0653-0705-5	数字时代背景下邢台高等院校思想育人创新研究	教育理论与应用	2025								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-22	title_mismatch overlap=0.00; openalex_no_doi title_found_no_doi
Globisporangium irregulare (Pythium irregulare)	36331	oomycetes	36331.3	玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2022.		10.11922/sciencedb.538	Land-Use Data Set Based on “Gaofen-1 Satellite” Data	Science Data Bank Datasets					Sex disparities in STEMI and stroke outcomes persist despite universal health care: a nationwide study in Spain (2007-2022).	2026	0.053		AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-22	title_mismatch overlap=0.00; openalex_no_doi
Globisporangium rostratum (Pythium rostratum )	2711123	oomycetes	2711123.1	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016.		10.1094/9780890544945	Compendium of Corn Diseases, Fourth Edition	APS Press	2016								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	title_mismatch overlap=0.47; openalex_no_doi; book_title_verified
Globisporangium rostratum (Pythium rostratum )	2711123	oomycetes	2711123.2	王晓鸣等.		10.37155/2705-0653-0705-5	数字时代背景下邢台高等院校思想育人创新研究	教育理论与应用	2025								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-21	title_mismatch overlap=0.00; openalex_no_doi title_found_no_doi
Globisporangium rostratum (Pythium rostratum )	2711123	oomycetes	2711123.3	玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2023.		10.11922/sciencedb.538	Land-Use Data Set Based on “Gaofen-1 Satellite” Data	Science Data Bank Datasets					Corrigendum to "Japanese clinical practice guidelines for oral cancer, 2023" [Int J Oral Maxillofac Surg 54(5) (2025) 461-476].	2026	0.05		AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-30	title_mismatch overlap=0.00; openalex_no_doi
Peronosclerospora heteropogonis	467162	oomycetes	467162.1	MATHUR K, TRIVEDI A, RATHORE R S. Assessment of losses caused by Peronosclerospora heteropogoni, incitant of downy mildew of Maize[J]. 2006.		10.1079/cabicompendium.44640	Peronosclerospora maydis (downy mildew of maize)	CABI Compendium	2021								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-30	title_mismatch overlap=0.38; openalex_no_doi
Peronosclerospora maydis	886949	oomycetes	886949.1	Ramsey M D, Jones D R. Peronosclerospora maydis found on maize, sweetcorn and plume sorghum in Far North Queensland[J]. Plant pathology, 1988, 37(4): 581-587.		10.1111/j.1365-3059.1988.tb02118.x	Peronosclerospora maydis found on maize, sweetcorn and plume sorghum in Far North Queensland	Plant Pathology	1988								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	strict_doi_match
Peronosclerospora miscanthi	1081076	oomycetes	1081076.1	Crouch J A, Davis W J, Shishkoff N, et al. Peronosporaceae species causing downy mildew diseases of Poaceae, including nomenclature revisions and diagnostic resources[J]. Fungal Systematics and Evolution, 2022, 9(1): 43-86.		10.3114/fuse.2022.09.05	Peronosporaceae Species Causing Downy Mildew Diseases of Poaceae, Including Nomenclature Revisions and Diagnostic Resources	Fungal Systematics and Evolution	2022			35978987	Peronosporaceae species causing downy mildew diseases of Poaceae, including nomenclature revisions and diagnostic resources.	2022			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	doi_corrected 10.3114/fuse.2022.09.05_supp -> 10.3114/fuse.2022.09.05; removed_supp_suffix
Peronosclerospora philippinensis	886948	oomycetes	886948.1	Telle S, Shivas R G, Ryley M J, et al. Molecular phylogenetic analysis of Peronosclerospora (Oomycetes) reveals cryptic species and genetically distinct species parasitic to maize[J]. European Journal of Plant Pathology, 2011, 130(4): 521-528.		10.1007/s10658-011-9772-8	Molecular phylogenetic analysis of Peronosclerospora (Oomycetes) reveals cryptic species and genetically distinct species parasitic to maize	European Journal of Plant Pathology	2011								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Peronosclerospora sacchari	467161	oomycetes	467161.1	Yao C, Magill C W, Frederiksen R A, et al. Detection and identification of Peronosclerospora sacchari in maize by DNA hybridization[J]. Phytopathology, 1991, 81(8): 901-905.		10.1094/phyto-81-901	Detection and Identification ofPeronosclerospora sacchariin Maize by DNA Hybridization	Phytopathology	1991								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Peronosclerospora sorghi	230839	oomycetes	230839.1	Adenle V O, Cardwell K F. Seed transmission of maize downy mildew (Peronosclerospora sorghi) in Nigeria[J]. Plant pathology, 2000, 49(5): 628-634.		10.1046/j.1365-3059.2000.00484.x	Seed transmission of maize downy mildew ( Peronosclerospora sorghi ) in Nigeria	Plant Pathology	2000								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Peronosclerospora spontanea	NOT_VERIFIED	oomycetes	NOT_VERIFIED.1	Crouch J A, Davis W J, Shishkoff N, et al. Peronosporaceae species causing downy mildew diseases of Poaceae, including nomenclature revisions and diagnostic resources[J]. Fungal Systematics and Evolution, 2022, 9(1): 43-86. | NCBI Taxonomy 未收录 Peronosclerospora spontanea		10.3114/fuse.2022.09.05	Peronosporaceae Species Causing Downy Mildew Diseases of Poaceae, Including Nomenclature Revisions and Diagnostic Resources	Fungal Systematics and Evolution	2022			35978987	Peronosporaceae species causing downy mildew diseases of Poaceae, including nomenclature revisions and diagnostic resources.	2022			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	doi_corrected 10.3114/fuse.2022.09.05_supp -> 10.3114/fuse.2022.09.05; removed_supp_suffix
Pythium acanthicum	65069	oomycetes	65069.1	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016.		10.1094/9780890544945	Compendium of Corn Diseases, Fourth Edition	APS Press	2016								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	title_mismatch overlap=0.47; openalex_no_doi; book_title_verified
Pythium acanthicum	65069	oomycetes	65069.2	王晓鸣等.		10.37155/2705-0653-0705-5	数字时代背景下邢台高等院校思想育人创新研究	教育理论与应用	2025								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-25	title_mismatch overlap=0.00; openalex_no_doi title_found_no_doi
Pythium acanthicum	65069	oomycetes	65069.3	玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020.		10.11922/sciencedb.538	Land-Use Data Set Based on “Gaofen-1 Satellite” Data	Science Data Bank Datasets					Supervised consumption service use and high-frequency public injecting among people who inject drugs in Toronto: A cross-sectional analysis (2018-2020).	2026	0.043		AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-21	title_mismatch overlap=0.00; openalex_no_doi
Pythium adhaerens	289596	oomycetes	289596.1	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016.		10.1094/9780890544945	Compendium of Corn Diseases, Fourth Edition	APS Press	2016								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	title_mismatch overlap=0.47; openalex_no_doi; book_title_verified
Pythium adhaerens	289596	oomycetes	289596.2	王晓鸣等.		10.37155/2705-0653-0705-5	数字时代背景下邢台高等院校思想育人创新研究	教育理论与应用	2025								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-29	title_mismatch overlap=0.00; openalex_no_doi title_found_no_doi
Pythium adhaerens	289596	oomycetes	289596.3	玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2021.		10.11922/sciencedb.538	Land-Use Data Set Based on “Gaofen-1 Satellite” Data	Science Data Bank Datasets					Corrigendum to "P53-independent partial restoration of the p53 pathway in tumors with mutated p53 through ATF4 transcriptional modulation by ERK1/2 and CDK9" [Neoplasia, Volume 23 (2021) 304-325].	2026	0.034		AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-20	title_mismatch overlap=0.00; openalex_no_doi
Pythium angustatum	289598	oomycetes	289598.1	Irwin J, Singh S, Kochman J, et al. Pathogen risks associated with bulk maize imports to australia from the United States of America[J]. A report by technical working group, 1999, 1.		10.1787/647445123515	Imports of services from the United States										AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-26	title_mismatch overlap=0.32; openalex_no_doi
Pythium aphanidermatum	65070	oomycetes	65070.1	Bickel J T, Koehler A M. Review of Pythium species causing damping-off in corn[J]. Plant Health Progress, 2021, 22(3): 219-225.		10.1094/php-02-21-0046-fi	Review of Pythium Species Causing Damping-Off in Corn	Plant Health Progress	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Pythium aristosporum	140044	oomycetes	140044.1	Hou M, Cao Y, Zhang X, et al. Genome-wide association study of maize resistance to Pythium aristosporum stalk rot[J]. Frontiers in Plant Science, 2023, 14: 1239635.		10.3389/fpls.2023.1239635	Genome-wide association study of maize resistance to Pythium aristosporum stalk rot	Frontiers in Plant Science	2023			37662167	Genome-wide association study of maize resistance to Pythium aristosporum stalk rot.	2023			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Pythium arrhenomanes	82932	oomycetes	82932.1	Deep I W, Lipps P E. Recovery of Pythium arrhenomanes and its virulence to corn[J]. Crop Protection, 1996, 15(1): 85-90.		10.1016/0261-2194(95)00120-4	Recovery of Pythium arrhenomanes and its virulence to corn	Crop Protection	1996								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Pythium debaryanum /Globisporangium debaryanum	231958	oomycetes	231958.1	Foley D C. Resistance to Pythium debaryanum in Zea mays seedlings[C]//Proceedings of the Iowa Academy of Science. 1980, 87(4): 134-138.		10.1079/cabicompendium.31300874	Pythium debaryanum (damping-off)	CABI Compendium	2021								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-20	title_mismatch overlap=0.15; openalex_no_doi
Pythium debaryanum /Globisporangium debaryanum	231958	oomycetes	231958.2	Bickel J T, Koehler A M. Review of Pythium species causing damping-off in corn[J]. Plant Health Progress, 2021, 22(3): 219-225.		10.1094/php-02-21-0046-fi	Review of Pythium Species Causing Damping-Off in Corn	Plant Health Progress	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Pythium graminicola	82937	oomycetes	82937.1	Erwin D C, Cameron J W. Susceptibility of five Sweet Com varieties to Pythium graminicola[J]. 1957.		10.1079/cabicompendium.46149	Pythium graminicola (seedling blight of grasses)	CABI Compendium	2021								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-26	title_mismatch overlap=0.27; openalex_no_doi
Pythium helicoides / Phytopythium helicoides	126844	oomycetes	126844.1	Xie X Y, Zhou H Z, Fan S S, et al. First report of Phytopythium helicoides causing stalk rot on corn in China[J]. Plant disease, 2021, 105(11): 3766.		10.1094/pdis-02-21-0429-pdn	First Report of Phytopythium helicoides Causing Stalk Rot on Corn in China	Plant Disease	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Pythium inflatum	82938	oomycetes	82938.1	Yang D E, Jin D M, Wang B, et al. Characterization and mapping of Rpi1, a gene that confers dominant resistance to stalk rot in maize[J]. Molecular genetics and genomics, 2005, 274(3): 229-234.		10.1007/s00438-005-0016-5	Characterization and mapping of Rpi1, a gene that confers dominant resistance to stalk rot in maize	Molecular Genetics and Genomics	2005			16133168	Characterization and mapping of Rpi1, a gene that confers dominant resistance to stalk rot in maize.	2005			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	strict_doi_match
Pythium lutarium	289618	oomycetes	289618.1	Acharya, Jyotsna, and Alison E. Robertson. "Effect of allelochemicals from cereal rye cultivar and Pythium lutarium on corn growth and disease." PhytoFrontiers™ 3.4 (2023): 847-854.		10.1094/phytofr-11-22-0137-r	Effect of Allelochemicals from Cereal Rye Cultivar and Pythium lutarium on Corn Growth and Disease	PhytoFrontiers™	2023				Generalisation between motor and declarative memory sequences: A conceptual replication of Mosha & Robertson (2016).	2026	0.071		AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Pythium paroecandrum/ Globisporangium paroecandrum	2125995	oomycetes	2125995.1	KONDO N, KODAMA F, AKAI J. Pathogenicity of Pythium species isolated from ungerminated corn seeds planted at a low temperature[J]. Japanese Journal of Phytopathology, 1986, 52(4): 585-589.		10.3186/jjphytopath.52.585	Pathogenicity of Pythium species isolated from ungerminated corn seeds planted at a low temperature.	Japanese Journal of Phytopathology	1986								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Pythium pulchrum / Globisporangium pulchrum	115420	oomycetes	115420.1	Bickel J T, Koehler A M. Review of Pythium species causing damping-off in corn[J]. Plant Health Progress, 2021, 22(3): 219-225.		10.1094/php-02-21-0046-fi	Review of Pythium Species Causing Damping-Off in Corn	Plant Health Progress	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Pythium schmitthenneri / Globisporangium schmitthenneri	1277646	oomycetes	1277646.1	Ellis M L, Paul P A, Dorrance A E, et al. Two new species of Pythium, P. schmitthenneri and P. selbyi pathogens of corn and soybean in Ohio[J]. Mycologia, 2012, 104(2): 477-487.		10.3852/11-162	Two new species of Pythium , P. schmitthenneri and P. selbyi pathogens of corn and soybean in Ohio	Mycologia	2012			22123655	Two new species of Pythium, P. schmitthenneri and P. selbyi pathogens of corn and soybean in Ohio.	2012			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Pythium spinosum /Globisporangium spinosum	2125998	oomycetes	2125998.1	KONDO N, KODAMA F, AKAI J. Pathogenicity of Pythium species isolated from ungerminated corn seeds planted at a low temperature[J]. Japanese Journal of Phytopathology, 1986, 52(4): 585-589.		10.3186/jjphytopath.52.585	Pathogenicity of Pythium species isolated from ungerminated corn seeds planted at a low temperature.	Japanese Journal of Phytopathology	1986								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Pythium splendens/Globisporangium splendens	82926	oomycetes	82926.1	Dorrance A E, Berry S A, Lipps P E. Characterization of Pythium spp. from three Ohio fields for pathogenicity on corn and soybean and metalaxyl sensitivity[J]. Plant Health Progress, 2004, 5(1): 10.		10.1094/php-2004-0202-01-rs	Characterization of Pythium spp. from Three Ohio Fields for Pathogenicity on Corn and Soybean and Metalaxyl Sensitivity	Plant Health Progress	2004								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Pythium sylvaticum / Globisporangium sylvaticum	82950	oomycetes	82950.1	Tang X, Chen S, Yan X, et al. First Report of Pythium torulosum Causing Corn Root Rot in Northeastern China[J]. Plant disease, 2021, 105(3): 712-712.		10.1094/pdis-08-20-1679-pdn	First Report of Pythium torulosum Causing Corn Root Rot in Northeastern China	Plant Disease	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Pythium torulosum	4799	oomycetes	4799.1	Tang X, Chen S, Yan X, et al. First Report of Pythium torulosum Causing Corn Root Rot in Northeastern China[J]. Plant disease, 2021, 105(3): 712-712.		10.1094/pdis-08-20-1679-pdn	First Report of Pythium torulosum Causing Corn Root Rot in Northeastern China	Plant Disease	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Pythium ultimum	2052682	oomycetes	2052682.1	Broders K D, Lipps P E, Paul P A, et al. Characterization of Pythium spp. associated with corn and soybean seed and seedling disease in Ohio[J]. Plant disease, 2007, 91(6): 727-735.		10.1094/pdis-91-6-0727	Characterization of Pythium spp. Associated with Corn and Soybean Seed and Seedling Disease in Ohio	Plant Disease	2007			30780657	Evaluation of Fusarium graminearum Associated with Corn and Soybean Seed and Seedling Disease in Ohio.	2007			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Pythium vexans/Phytopythium vexans	907947	oomycetes	907947.1	Bickel J T, Koehler A M. Review of Pythium species causing damping-off in corn[J]. Plant Health Progress, 2021, 22(3): 219-225.		10.1094/php-02-21-0046-fi	Review of Pythium Species Causing Damping-Off in Corn	Plant Health Progress	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Sclerophthora macrospora	467176	oomycetes	467176.1	Trdan S, Celar F. The first and mass occurrence of fungus Sclerophthora macrospora (Sacc.) Thirumalachar, CG Shaw & Narasimhan on maize in Slovenia[J]. 1999.		10.14720/aas.1999.73.2.15988	The first and mass occurrence of fungus Sclerophthora macrospora (SACC.) Thirumalachar, C. G. Shaw and Narasimhan on maize in Slovenia	Acta agriculturae Slovenica	1999								AUTO_CANDIDATE_LOW	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Sclerophthora rayssiae / Sclerophthora rayssiae var. zeae	NOT_VERIFIED	oomycetes	NOT_VERIFIED.1	Crouch J A, Davis W J, Shishkoff N, et al. Peronosporaceae species causing downy mildew diseases of Poaceae, including nomenclature revisions and diagnostic resources[J]. Fungal Systematics and Evolution, 2022, 9(1): 43-86. | NCBI Taxonomy 未收录 Sclerophthora rayssiae		10.3114/fuse.2022.09.05	Peronosporaceae Species Causing Downy Mildew Diseases of Poaceae, Including Nomenclature Revisions and Diagnostic Resources	Fungal Systematics and Evolution	2022			35978987	Peronosporaceae species causing downy mildew diseases of Poaceae, including nomenclature revisions and diagnostic resources.	2022			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	doi_corrected 10.3114/fuse.2022.09.05_supp -> 10.3114/fuse.2022.09.05; removed_supp_suffix
Sclerospora graminicola	162130	oomycetes	162130.1	Frederiksen R A, Renfro B L. Global status of maize downy mildew[J]. Annual Review of Phytopathology, 1977, 15(1): 249-271.		10.1146/annurev.py.15.090177.001341	Global Status of Maize Downy Mildew	Annual Review of Phytopathology	1977								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
